date,store_nbr,family,sales,onpromotion,city,state,type,cluster,year,month,day,day_of_week,week_of_year,is_weekend,quarter,type_encoded,family_encoded,predicted_sales
2013-01-01,1,AUTOMOTIVE,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,0,-48.027794
2013-01-01,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,1,-49.84464
2013-01-01,1,BEAUTY,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,2,-49.495823
2013-01-01,1,BEVERAGES,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,3,1119.937
2013-01-01,1,BOOKS,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,4,-105.723045
2013-01-01,1,BREAD/BAKERY,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,5,199.00685
2013-01-01,1,CELEBRATION,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,6,-117.691444
2013-01-01,1,CLEANING,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,7,805.2474
2013-01-01,1,DAIRY,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,8,352.6737
2013-01-01,1,DELI,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,9,82.78538
2013-01-01,1,EGGS,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,10,47.398262
2013-01-01,1,FROZEN FOODS,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,11,33.585457
2013-01-01,1,GROCERY I,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,12,1877.5354
2013-01-01,1,GROCERY II,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,13,-23.290833
2013-01-01,1,HARDWARE,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,14,-26.438774
2013-01-01,1,HOME AND KITCHEN I,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,15,-26.438774
2013-01-01,1,HOME AND KITCHEN II,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,16,-26.438774
2013-01-01,1,HOME APPLIANCES,0.0,0,Quito,Pichincha,D,13,2013,1,1,1,1,0,1,4,17,-26.438774
